Date,Open,High,Low,Close,Adj Close,Volume
2020-10-06,24.370001,24.480000,23.480000,23.580000,23.303341,116800
2020-10-07,23.770000,24.270000,23.520000,23.570000,23.293459,92200
2020-10-08,23.750000,23.980000,23.700001,23.790001,23.510878,84900
2020-10-09,23.850000,24.370001,23.719999,24.000000,23.718414,67100
2020-10-12,23.990000,24.340000,23.790001,24.150000,23.866655,49000
2020-10-13,23.910000,24.049999,23.590000,23.840000,23.560289,66800
2020-10-14,23.760000,24.020000,23.360001,23.490000,23.214399,103500
2020-10-15,23.209999,24.000000,22.980000,23.850000,23.570175,110900
2020-10-16,23.709999,24.309999,23.570000,24.049999,23.767828,77600
2020-10-19,24.150000,24.170000,23.610001,23.750000,23.471348,62400
2020-10-20,23.940001,24.080000,23.639999,23.770000,23.491114,58300
2020-10-21,23.879999,24.059999,23.760000,24.030001,23.748062,34500
2020-10-22,24.139999,24.650000,23.950001,24.500000,24.212547,46500
2020-10-23,24.559999,25.219999,24.559999,24.750000,24.459614,59500
2020-10-26,24.490000,24.490000,23.709999,24.040001,23.757944,48400
2020-10-27,24.049999,24.379999,23.750000,24.260000,23.975365,88800
2020-10-28,24.070000,26.180000,23.600000,25.500000,25.200815,304500
2020-10-29,25.780001,26.230000,25.070000,25.700001,25.398470,123000
2020-10-30,25.760000,26.129999,25.450001,25.809999,25.507177,121300
2020-11-02,26.139999,26.459999,25.950001,26.270000,25.961782,87600
2020-11-03,26.510000,27.930000,26.500000,27.740000,27.414532,108900
2020-11-04,27.330000,27.840000,27.070000,27.350000,27.029110,69400
2020-11-05,27.480000,28.260000,27.420000,27.780001,27.454063,47100
2020-11-06,27.889999,27.889999,26.969999,27.049999,26.829206,60400
2020-11-09,27.530001,28.610001,26.780001,26.790001,26.571329,128800
2020-11-10,27.129999,27.620001,26.510000,27.139999,26.918470,60300
2020-11-11,27.110001,27.549999,26.690001,27.070000,26.849043,49200
2020-11-12,26.990000,27.379999,26.520000,27.180000,26.958147,68800
2020-11-13,27.360001,28.100000,27.219999,27.879999,27.652430,60800
2020-11-16,28.530001,29.719999,28.250000,29.219999,28.981493,134300
2020-11-17,29.299999,29.790001,28.730000,28.920000,28.683943,57200
2020-11-18,28.930000,29.280001,28.610001,28.610001,28.376472,52200
2020-11-19,28.580000,28.990000,28.330000,28.719999,28.485573,46300
2020-11-20,28.680000,29.000000,28.120001,28.889999,28.654186,63000
2020-11-23,29.240000,29.389999,28.820000,28.900000,28.664104,58500
2020-11-24,29.150000,29.500000,28.950001,29.230000,28.991411,112600
2020-11-25,29.100000,29.270000,28.540001,28.809999,28.574841,70000
2020-11-27,28.740000,28.780001,28.000000,28.459999,28.227697,28800
2020-11-30,28.389999,28.389999,27.150000,27.209999,26.987900,108500
2020-12-01,27.350000,28.760000,27.309999,27.870001,27.642515,96000
2020-12-02,27.700001,27.860001,27.209999,27.690001,27.463984,55600
2020-12-03,27.740000,28.170000,27.600000,27.730000,27.503654,42700
2020-12-04,27.910000,28.700001,27.879999,28.650000,28.416145,43900
2020-12-07,28.639999,28.799999,28.290001,28.540001,28.307043,58300
2020-12-08,28.320000,29.379999,28.230000,29.260000,29.021168,114400
2020-12-09,29.480000,30.610001,29.379999,29.850000,29.606354,177100
2020-12-10,31.990000,31.990000,29.900000,30.719999,30.469250,262000
2020-12-11,30.610001,30.700001,29.639999,29.709999,29.467493,107400
2020-12-14,30.150000,30.270000,29.110001,29.450001,29.209618,100400
2020-12-15,29.770000,29.770000,29.370001,29.500000,29.259209,83000
2020-12-16,29.510000,29.540001,28.780001,29.049999,28.812881,91200
2020-12-17,29.010000,29.780001,28.780001,29.750000,29.507170,135100
2020-12-18,29.809999,30.559999,29.340000,30.000000,29.755125,232800
2020-12-21,29.799999,30.420000,29.299999,30.200001,29.953495,92500
2020-12-22,30.330000,30.610001,29.990000,30.510000,30.260963,71200
2020-12-23,30.549999,31.110001,30.379999,30.490000,30.241127,81300
2020-12-24,30.709999,30.950001,30.280001,30.840000,30.588268,29900
2020-12-28,31.000000,31.590000,30.990000,31.400000,31.143698,86500
2020-12-29,31.299999,31.750000,30.420000,30.760000,30.508924,80400
2020-12-30,31.059999,31.670000,30.889999,30.940001,30.687452,46500
2020-12-31,31.000000,31.540001,30.910000,31.320000,31.064352,53200
2021-01-04,31.520000,31.620001,30.709999,30.969999,30.717211,77900
2021-01-05,31.000000,32.020000,31.000000,31.809999,31.550352,94900
2021-01-06,32.049999,34.000000,32.049999,33.430000,33.157131,157100
2021-01-07,34.000000,34.430000,33.660000,33.980000,33.702641,117700
2021-01-08,34.110001,34.180000,33.250000,33.630001,33.355503,92400
2021-01-11,33.250000,33.910000,33.000000,33.119999,32.849659,78600
2021-01-12,33.369999,33.720001,33.000000,33.240002,32.968681,82100
2021-01-13,33.130001,33.410000,32.830002,33.349998,33.077782,76100
2021-01-14,33.619999,34.070000,33.450001,33.939999,33.662968,90700
2021-01-15,33.689999,34.099998,33.169998,33.619999,33.345577,60100
2021-01-19,33.980000,34.570000,33.790001,34.020000,33.742313,76900
2021-01-20,33.950001,34.639999,33.950001,34.410000,34.129131,101600
2021-01-21,34.459999,35.020000,34.400002,34.570000,34.287823,95100
2021-01-22,34.259998,34.820000,33.570000,34.810001,34.525871,80700
2021-01-25,34.689999,35.410000,34.349998,35.360001,35.071377,136800
2021-01-26,35.419998,36.119999,35.240002,35.980000,35.686317,100900
2021-01-27,35.509998,35.630001,34.130001,34.730000,34.446518,124600
2021-01-28,34.869999,34.869999,33.630001,33.669998,33.395168,118600
2021-01-29,33.590000,34.230000,32.990002,33.119999,32.849659,94000
2021-02-01,33.410000,33.619999,33.110001,33.279999,33.008354,56100
2021-02-02,33.660000,34.130001,33.380001,34.119999,33.841499,54700
2021-02-03,34.130001,34.349998,33.720001,33.980000,33.702641,85300
2021-02-04,34.080002,35.240002,34.020000,35.000000,34.714314,59400
2021-02-05,35.259998,35.270000,34.740002,35.110001,34.923199,49400
2021-02-08,35.330002,35.750000,35.189999,35.750000,35.559792,57100
2021-02-09,35.660000,35.980000,35.500000,35.830002,35.639370,74500
2021-02-10,36.000000,36.200001,35.439999,36.060001,35.868145,117500
2021-02-11,36.189999,36.810001,36.049999,36.570000,36.375427,160300
2021-02-12,36.560001,36.700001,36.020000,36.580002,36.385376,115100
2021-02-16,36.849998,36.849998,35.090000,35.299999,35.112186,106200
2021-02-17,34.709999,34.810001,33.689999,34.790001,34.604900,90100
2021-02-18,34.630001,35.230000,32.740002,34.340000,34.157291,331300
2021-02-19,34.709999,34.919998,34.209999,34.459999,34.276657,96100
2021-02-22,34.130001,35.240002,34.130001,34.700001,34.515381,120400
2021-02-23,34.340000,34.830002,33.740002,33.799999,33.620167,147800
2021-02-24,33.799999,34.119999,33.529999,33.860001,33.679848,104600
2021-02-25,33.849998,33.990002,33.130001,33.270000,33.092987,80200
2021-02-26,33.049999,33.509998,32.709999,32.959999,32.784634,151300
2021-03-01,33.549999,34.180000,33.549999,34.169998,33.988197,77800
2021-03-02,34.110001,34.410000,33.369999,33.650002,33.470966,80300
2021-03-03,33.990002,34.250000,33.450001,33.880001,33.699741,71700
2021-03-04,33.650002,33.959999,33.060001,33.230000,33.053200,107000
2021-03-05,33.580002,34.119999,32.779999,34.060001,33.878784,114900
2021-03-08,34.950001,36.340000,34.529999,36.060001,35.868145,129400
2021-03-09,36.330002,36.330002,35.689999,35.790001,35.599583,114400
2021-03-10,35.900002,36.840000,35.869999,36.790001,36.594261,102200
2021-03-11,36.720001,36.939999,36.349998,36.520000,36.325695,120900
2021-03-12,36.750000,36.860001,36.080002,36.139999,35.947716,117500
2021-03-15,36.000000,36.480000,35.200001,36.480000,36.285908,114200
2021-03-16,36.419998,36.500000,35.549999,36.049999,35.858196,72200
2021-03-17,36.230000,36.520000,35.580002,36.270000,36.077026,66000
2021-03-18,36.119999,36.959999,36.119999,36.810001,36.614155,91100
2021-03-19,36.820000,38.220001,36.730000,36.820000,36.624100,391600
2021-03-22,36.950001,37.130001,36.099998,36.549999,36.355537,113000
2021-03-23,36.240002,36.520000,35.270000,35.380001,35.191761,111400
2021-03-24,35.790001,36.160000,34.549999,34.650002,34.465649,119000
2021-03-25,34.389999,35.060001,33.709999,34.939999,34.754101,75700
2021-03-26,35.119999,35.290001,34.669998,35.240002,35.052505,54100
2021-03-29,34.959999,35.570000,34.910000,35.099998,34.913246,83300
2021-03-30,35.189999,35.680000,34.950001,35.110001,34.923199,87100
2021-03-31,35.349998,36.480000,34.980000,35.189999,35.002769,221800
2021-04-01,35.270000,36.340000,35.099998,36.139999,35.947716,111400
2021-04-05,36.580002,36.849998,36.200001,36.529999,36.335640,114000
2021-04-06,36.650002,36.930000,36.349998,36.660000,36.464951,66100
2021-04-07,36.549999,36.680000,35.570000,35.759998,35.569736,83300
2021-04-08,35.750000,35.790001,34.910000,35.320000,35.132080,116200
2021-04-09,35.380001,35.419998,35.090000,35.220001,35.032616,52600
2021-04-12,35.130001,35.340000,34.869999,35.230000,35.042561,43200
2021-04-13,35.119999,35.610001,34.959999,35.279999,35.092293,53900
2021-04-14,35.250000,36.389999,35.130001,36.099998,35.907928,84500
2021-04-15,36.290001,36.290001,35.250000,35.500000,35.311123,33800
2021-04-16,35.770000,35.910000,35.250000,35.830002,35.639370,52100
2021-04-19,35.700001,36.119999,35.299999,35.840000,35.649315,75500
2021-04-20,36.009998,36.139999,35.230000,35.990002,35.798519,104600
2021-04-21,36.080002,36.639999,35.830002,36.029999,35.838303,55000
2021-04-22,36.900002,38.209999,36.380001,37.689999,37.489468,184800
2021-04-23,38.340000,38.990002,37.770000,37.919998,37.718246,107400
2021-04-26,38.279999,38.279999,37.549999,37.770000,37.569046,172200
2021-04-27,37.930000,38.180000,37.630001,37.730000,37.529259,85500
2021-04-28,37.790001,38.299999,37.310001,38.230000,38.026596,63700
2021-04-29,38.340000,38.340000,37.590000,37.810001,37.608833,53000
2021-04-30,37.630001,37.630001,36.880001,37.180000,36.982185,76900
2021-05-03,37.220001,37.880001,37.220001,37.730000,37.529259,51300
2021-05-04,37.630001,37.959999,37.349998,37.630001,37.429790,87900
2021-05-05,38.560001,39.330002,38.389999,38.619999,38.414524,86800
2021-05-06,38.619999,38.750000,38.090000,38.529999,38.325001,56200
2021-05-07,38.500000,39.209999,38.439999,38.639999,38.534428,41800
2021-05-10,38.500000,38.619999,37.869999,37.869999,37.766529,74500
2021-05-11,37.750000,37.750000,36.840000,37.150002,37.048500,65700
2021-05-12,37.139999,37.369999,36.549999,36.580002,36.480057,58400
2021-05-13,36.500000,37.209999,36.500000,37.119999,37.018578,31000
2021-05-14,37.770000,38.130001,37.290001,38.049999,37.946037,85700
2021-05-17,37.919998,38.410000,37.630001,37.930000,37.826366,48700
2021-05-18,37.889999,38.290001,37.410000,37.439999,37.337704,104100
2021-05-19,37.169998,37.459999,36.709999,37.439999,37.337704,69900
2021-05-20,37.570000,38.209999,37.380001,37.950001,37.846313,62400
2021-05-21,38.139999,38.430000,38.029999,38.250000,38.145493,55300
2021-05-24,38.340000,38.610001,38.180000,38.250000,38.145493,56400
2021-05-25,38.230000,38.419998,37.220001,37.230000,37.128281,68800
2021-05-26,37.230000,37.700001,37.099998,37.490002,37.387569,60200
2021-05-27,37.970001,38.590000,37.930000,38.259998,38.155464,125700
2021-05-28,38.480000,38.480000,37.900002,38.360001,38.255192,44000
2021-06-01,38.599998,39.130001,38.389999,38.779999,38.674042,65500
2021-06-02,39.000000,39.000000,38.020000,38.080002,37.975960,47600
2021-06-03,37.880001,37.880001,37.360001,37.750000,37.646858,69700
2021-06-04,37.779999,38.240002,37.480000,38.040001,37.936066,71300
2021-06-07,38.040001,38.660000,38.009998,38.470001,38.364891,52000
2021-06-08,38.590000,39.020000,38.430000,38.720001,38.614208,58900
2021-06-09,39.580002,39.650002,38.580002,38.720001,38.614208,134900
2021-06-10,38.540001,38.570000,37.820000,37.820000,37.716667,84600
2021-06-11,37.810001,38.790001,37.770000,38.240002,38.135521,117600
2021-06-14,38.270000,38.689999,37.700001,37.740002,37.636887,65600
2021-06-15,37.970001,38.549999,37.740002,38.209999,38.105602,61700
2021-06-16,37.959999,38.450001,37.959999,38.119999,38.015846,90600
2021-06-17,38.099998,38.410000,37.540001,37.680000,37.577049,68300
2021-06-18,37.230000,37.250000,36.770000,37.000000,36.898907,139600
2021-06-21,37.340000,37.480000,36.910000,37.400002,37.297817,77200
2021-06-22,37.250000,37.570000,36.830002,36.889999,36.789207,110000
2021-06-23,37.009998,37.009998,36.369999,36.480000,36.380329,129000
2021-06-24,36.619999,37.410000,36.419998,37.310001,37.208061,57400
2021-06-25,37.150002,37.619999,36.799999,36.799999,36.699455,345800
2021-06-28,36.669998,36.910000,36.049999,36.869999,36.769260,114700
2021-06-29,36.840000,37.240002,36.709999,36.779999,36.679508,96500
2021-06-30,36.599998,37.369999,36.529999,36.970001,36.868992,79700
2021-07-01,37.070000,37.270000,36.500000,36.570000,36.470081,133400
2021-07-02,36.799999,36.799999,36.250000,36.619999,36.519943,65300
2021-07-06,36.750000,36.750000,35.639999,35.779999,35.682240,53700
2021-07-07,35.700001,35.830002,35.189999,35.299999,35.203552,85700
2021-07-08,34.660000,35.220001,34.169998,34.610001,34.515438,76200
2021-07-09,34.950001,35.130001,34.700001,34.830002,34.734840,43200
2021-07-12,34.720001,35.939999,34.630001,35.750000,35.652325,114500
2021-07-13,35.430000,35.720001,35.049999,35.330002,35.233471,48600
2021-07-14,35.560001,35.560001,35.070000,35.180000,35.083881,104900
2021-07-15,34.900002,35.599998,34.799999,35.240002,35.143719,82900
2021-07-16,35.529999,35.689999,34.980000,34.980000,34.884426,41000
2021-07-19,34.509998,35.139999,34.099998,35.080002,34.984154,109400
2021-07-20,35.369999,36.369999,35.169998,35.900002,35.801914,78400
2021-07-21,36.259998,36.639999,35.849998,35.950001,35.851776,87100
2021-07-22,35.840000,35.840000,35.360001,35.500000,35.403008,29600
2021-07-23,35.730000,35.939999,35.240002,35.840000,35.742077,36700
2021-07-26,36.049999,36.580002,36.049999,36.540001,36.440166,102600
2021-07-27,36.250000,36.540001,35.889999,36.500000,36.400272,46400
